State,State Abbreviation,2010_AllSites,2010_AllSites_perCapita,2010_LungBronchus,2010_LungBronchus_perCapita,2010_Population,2011_AllSites,2011_AllSites_perCapita,2011_LungBronchus,2011_LungBronchus_perCapita,2011_Population,2012_AllSites,2012_AllSites_perCapita,2012_LungBronchus,2012_LungBronchus_perCapita,2012_Population,2013_AllSites,2013_AllSites_perCapita,2013_LungBronchus,2013_LungBronchus_perCapita,2013_Population,2014_AllSites,2014_AllSites_perCapita,2014_LungBronchus,2014_LungBronchus_perCapita,2014_Population,2015_AllSites,2015_AllSites_perCapita,2015_LungBronchus,2015_LungBronchus_perCapita,2015_Population,2016_AllSites,2016_AllSites_perCapita,2016_LungBronchus,2016_LungBronchus_perCapita,2016_Population,2017_AllSites,2017_AllSites_perCapita,2017_LungBronchus,2017_LungBronchus_perCapita,2017_Population,2018_AllSites,2018_AllSites_perCapita,2018_LungBronchus,2018_LungBronchus_perCapita,2018_Population,2019_AllSites,2019_AllSites_perCapita,2019_LungBronchus,2019_LungBronchus_perCapita,2019_Population,2020_AllSites,2020_AllSites_perCapita,2020_LungBronchus,2020_LungBronchus_perCapita,2020_Population
Nevada,NV,12230,0.004529,1920,0.000711,2700551,12800,0.004718,1510,0.000557,2712730,13780,0.005022,1930,0.000703,2743996,13830,0.004982,1970,0.00071,2775970,14450,0.005128,2040,0.000724,2817628,13640,0.004758,1770,0.000617,2866939,14390,0.004932,1700,0.000583,2917563,13840,0.00466,1680,0.000566,2969905,14060,0.004644,2090,0.00069,3027341,14810,0.004808,1880,0.00061,3080156,16540,0.005308,1850,0.000594,3115840
New Hampshire,NH,7810,0.005933,1070,0.000813,1316470,8210,0.006219,1110,0.000841,1320202,8350,0.006306,1130,0.000853,1324232,8470,0.006385,1150,0.000867,1326622,8450,0.006337,1110,0.000832,1333341,8090,0.006054,1140,0.000853,1336350,8680,0.006466,1140,0.000849,1342307,8670,0.006428,1150,0.000853,1348787,8080,0.00597,1230,0.000909,1353465,8610,0.006332,1140,0.000838,1359711,8060,0.005846,1220,0.000885,1378702
New Jersey,NJ,48100,0.005471,6260,0.000712,8791894,49080,0.00556,6210,0.000703,8828117,50650,0.005726,5990,0.000677,8844942,49440,0.005582,5960,0.000673,8856972,51130,0.005768,6130,0.000692,8864525,51410,0.005797,5830,0.000657,8867949,49750,0.005608,5580,0.000629,8870827,51680,0.005816,5540,0.000623,8885525,53260,0.005994,5870,0.000661,8886025,53400,0.006012,6070,0.000683,8882190,53340,0.005753,6100,0.000658,9272392
New Mexico,NM,9210,0.004473,920,0.000447,2059179,9630,0.004629,980,0.000471,2080450,9640,0.004618,1090,0.000522,2087309,10090,0.004823,1050,0.000502,2092273,10210,0.004886,1060,0.000507,2089568,9970,0.004772,990,0.000474,2089291,9750,0.004661,1020,0.000488,2091630,10040,0.0048,1010,0.000483,2091784,9730,0.004649,1090,0.000521,2092741,9460,0.004512,1070,0.00051,2096829,9800,0.004626,1040,0.000491,2118488
New York,NY,103340,0.005333,13720,0.000708,19378102,107260,0.005501,14200,0.000728,19499241,109440,0.005591,13620,0.000696,19572932,108760,0.005542,13480,0.000687,19624447,107200,0.005455,13720,0.000698,19651049,107840,0.005487,13180,0.000671,19654666,110280,0.005617,13200,0.000672,19633428,107530,0.005489,12700,0.000648,19589572,110800,0.005673,13190,0.000675,19530351,111870,0.005751,13380,0.000688,19453561,117910,0.005865,13370,0.000665,20104710
North Carolina,NC,45120,0.004732,7520,0.000789,9535483,48870,0.00506,7300,0.000756,9657592,51860,0.005319,7950,0.000815,9749476,53200,0.005405,8040,0.000817,9843336,52550,0.005291,7850,0.00079,9932887,50420,0.005026,7750,0.000773,10031646,54450,0.005362,7870,0.000775,10154788,56900,0.005541,7940,0.000773,10268233,55130,0.00531,8490,0.000818,10381615,58690,0.005596,8010,0.000764,10488084,59620,0.005703,8470,0.00081,10453812
North Dakota,ND,3300,0.004906,410,0.00061,672591,3560,0.005195,420,0.000613,685225,3510,0.005006,460,0.000656,701176,3510,0.004861,460,0.000637,722036,3730,0.005058,400,0.000542,737401,3840,0.005092,440,0.000584,754066,3930,0.005209,480,0.000636,754434,4180,0.005537,480,0.000636,754942,4110,0.005422,500,0.00066,758080,3940,0.00517,430,0.000564,762062,4060,0.005208,460,0.00059,779563
Ohio,OH,64450,0.005587,10710,0.000928,11536504,65060,0.005636,10060,0.000871,11544663,66560,0.005763,10270,0.000889,11548923,66610,0.005754,10230,0.000884,11576684,67000,0.005775,9760,0.000841,11602700,65010,0.005596,10000,0.000861,11617527,66020,0.005675,10550,0.000907,11634370,68180,0.005848,10660,0.000914,11659650,68470,0.005864,10760,0.000922,11676341,67150,0.005745,9680,0.000828,11689100,71850,0.00609,10110,0.000857,11798292
Oklahoma,OK,18670,0.004977,3250,0.000866,3751351,18980,0.00501,3270,0.000863,3788379,19210,0.00503,3370,0.000882,3818814,20160,0.005232,3370,0.000875,3853214,19830,0.005113,3320,0.000856,3878187,19280,0.004932,3220,0.000824,3909500,19650,0.005005,3150,0.000802,3926331,18710,0.004759,3050,0.000776,3931316,19030,0.00483,3210,0.000815,3940235,20540,0.005191,3220,0.000814,3956971,20530,0.005178,3200,0.000807,3965234
Oregon,OR,20750,0.005416,2810,0.000733,3831074,21180,0.00547,2860,0.000739,3872036,21370,0.005481,2920,0.000749,3899001,21720,0.005537,2860,0.000729,3922468,22530,0.005685,2950,0.000744,3963244,22410,0.00558,2830,0.000705,4015792,22510,0.005504,2970,0.000726,4089976,21780,0.005256,2900,0.0007,4143625,21520,0.005146,3140,0.000751,4181886,23320,0.005529,2900,0.000688,4217737,23330,0.005496,2930,0.00069,4245044
Pennsylvania,PA,75260,0.005925,10520,0.000828,12702379,78030,0.006122,10900,0.000855,12745815,78340,0.006136,10890,0.000853,12767118,79560,0.006227,10980,0.000859,12776309,79920,0.006249,10290,0.000805,12788313,81540,0.006378,10540,0.000824,12784826,83560,0.006537,10500,0.000821,12782275,77710,0.006077,9930,0.000777,12787641,80960,0.006325,10470,0.000818,12800922,79890,0.00624,10380,0.000811,12801989,80240,0.006174,10710,0.000824,12995477
Rhode Island,RI,5970,0.005672,840,0.000798,1052567,6090,0.00578,880,0.000835,1053649,6310,0.005983,860,0.000815,1054621,6280,0.005952,870,0.000825,1055081,6370,0.006033,870,0.000824,1055936,6040,0.005719,880,0.000833,1056065,6190,0.005857,890,0.000842,1056770,5870,0.00556,860,0.000815,1055673,5920,0.005594,880,0.000832,1058287,6540,0.006174,940,0.000887,1059361,5930,0.005408,920,0.000839,1096444
South Carolina,SC,23240,0.005024,3970,0.000858,4625364,25510,0.00546,3900,0.000835,4671994,26570,0.005632,4270,0.000905,4717354,27620,0.005798,4390,0.000921,4764080,26390,0.005471,4130,0.000856,4823617,25550,0.005223,4040,0.000826,4891938,27980,0.005643,4280,0.000863,4957968,28680,0.005712,4320,0.00086,5021268,30450,0.005989,4630,0.000911,5084156,29830,0.005794,4360,0.000847,5148714,31710,0.006179,4460,0.000869,5132151
South Dakota,SD,4220,0.005183,540,0.000663,814180,4430,0.005379,580,0.000704,823579,4430,0.005315,620,0.000744,833566,4570,0.005426,620,0.000736,842316,4490,0.005288,540,0.000636,849129,4520,0.005293,570,0.000667,853988,4690,0.005435,590,0.000684,862996,4920,0.005637,590,0.000676,872868,5100,0.005804,650,0.00074,878698,4770,0.005392,580,0.000656,884659,4960,0.005587,590,0.000665,887852
Tennessee,TN,33070,0.005211,5980,0.000942,6346105,34750,0.00543,5870,0.000917,6399291,35610,0.005518,6140,0.000951,6453898,36580,0.005633,6200,0.000955,6494340,36570,0.005591,5980,0.000914,6541223,38300,0.005811,6200,0.000941,6591170,37650,0.005665,6010,0.000904,6646010,37080,0.005527,5830,0.000869,6708799,36760,0.005429,6030,0.00089,6771631,37350,0.005469,6210,0.000909,6829174,39360,0.005683,6300,0.00091,6926091
Texas,TX,101120,0.004021,14030,0.000558,25145561,105000,0.004094,13380,0.000522,25645629,110470,0.004235,14810,0.000568,26084481,112230,0.004238,15000,0.000566,26480266,115730,0.004292,14890,0.000552,26964333,113630,0.004137,13650,0.000497,27470056,116690,0.00418,14620,0.000524,27914410,116200,0.004107,14560,0.000515,28295273,121860,0.004257,15460,0.00054,28628666,124890,0.004307,14750,0.000509,28995881,129770,0.004439,14830,0.000507,29234361
Utah,UT,9970,0.003607,620,0.000224,2763885,10530,0.003741,630,0.000224,2814384,10620,0.003722,880,0.000308,2853375,10810,0.003731,800,0.000276,2897640,10780,0.003671,650,0.000221,2936879,11050,0.003706,660,0.000221,2981835,11030,0.003626,890,0.000293,3041868,10990,0.003544,850,0.000274,3101042,10950,0.003472,900,0.000285,3153550,11620,0.003625,780,0.000243,3205958,11900,0.003624,730,0.000222,3283982
Vermont,VT,3720,0.005945,490,0.000783,625741,3950,0.006299,530,0.000845,627049,4060,0.006485,550,0.000878,626090,4200,0.006707,590,0.000942,626210,4130,0.006606,550,0.00088,625214,4020,0.00643,570,0.000912,625216,4050,0.006494,510,0.000818,623657,4000,0.006407,510,0.000817,624344,3840,0.00615,560,0.000897,624358,3920,0.006282,510,0.000817,623989,3740,0.005817,570,0.000887,642936
Virginia,VA,36410,0.004551,5510,0.000689,8001024,38720,0.00478,5670,0.0007,8101155,41380,0.005056,5550,0.000678,8185080,40870,0.004952,5380,0.000652,8252427,40970,0.00493,5580,0.000671,8310993,41170,0.004924,5740,0.000686,8361808,43190,0.005135,5690,0.000677,8410106,42770,0.005053,5400,0.000638,8463587,42420,0.00499,5860,0.000689,8501286,45440,0.005324,5950,0.000697,8535519,47550,0.005505,5960,0.00069,8637193
Washington,WA,34500,0.00513,4320,0.000642,6724540,35360,0.00518,4540,0.000665,6826627,35790,0.005189,4700,0.000681,6897058,37290,0.005355,4700,0.000675,6963985,38230,0.005419,4630,0.000656,7054655,38180,0.00533,4790,0.000669,7163657,37770,0.005178,4670,0.00064,7294771,32560,0.004386,4390,0.000591,7423362,36170,0.004807,4810,0.000639,7523869,39160,0.005143,4770,0.000626,7614893,36290,0.004698,4790,0.00062,7724566
West Virginia,WV,10610,0.005726,2070,0.001117,1852994,11080,0.005969,2080,0.001121,1856301,11610,0.006252,2070,0.001115,1856872,11450,0.006176,2100,0.001133,1853914,11700,0.006326,2090,0.00113,1849489,11730,0.006368,2080,0.001129,1842050,11770,0.006428,2020,0.001103,1831023,11690,0.006434,1980,0.00109,1817004,12110,0.006712,2060,0.001142,1804291,12440,0.006941,2010,0.001122,1792147,12380,0.00691,2030,0.001133,1791562
Wisconsin,WI,29610,0.005207,3990,0.000702,5686986,30530,0.005351,4020,0.000705,5705288,31920,0.00558,4220,0.000738,5719960,31590,0.005507,4310,0.000751,5736754,32480,0.005647,4020,0.000699,5751525,32700,0.005676,4370,0.000759,5760940,32970,0.005711,4230,0.000733,5772628,32990,0.005698,4280,0.000739,5790186,33340,0.005741,4400,0.000758,5807406,34220,0.005877,4150,0.000713,5822434,35280,0.005983,4290,0.000728,5896700
Wyoming,WY,2540,0.004507,320,0.000568,563626,2680,0.004724,310,0.000546,567299,2650,0.004598,330,0.000573,576305,2700,0.004638,320,0.00055,582122,2890,0.004961,330,0.000566,582531,2860,0.004884,320,0.000546,585613,2920,0.004998,310,0.000531,584215,2780,0.004802,320,0.000553,578931,2780,0.004813,330,0.000571,577601,2930,0.005063,310,0.000536,578759,2880,0.004986,320,0.000554,577664
